Vanilla,Caramel,Toffee,Honey,Vanilla
Fruity,Dark Fruit,Light Fruit,Citrus,Sour,Fruity
Earthy,Coffee,Chocolate,Bitter Chocolate,Nutty,Earthy
Mineral,Dry,Crisp,Refreshing,Clean,Carbonation,Mineral
Toasty,Roasty,Rustic,Smokey,Toast,Toasty
Spices,Spices,Pepper
Florals,Herbal,Grassy,Hops,Bitterness,Florals
Grainy,Rye,Corny,Wheat,Grainy
Creamy,Malt,Creamy
