  0-18200-00834,  BUDWEISER 6PK LN BTLS
  0-38075-20250,  BUDWEISER BEER BTL NR
  0-18200-00745,  BUDWEISER BEER SNGL CAN
  0-18200-16981,  BUDWEISER PROJECT 12
  0-18200-20986,  BUDWEISER SELECT 55 12 NR
  0-18200-96665,  BUDWEISER SELECT 55 18PK
  0-18200-16702,  BUDWEISER SELECT 55 6PK
  0-82393-00039,  BUFFALO BILLS ALIMONY ALE
  0-18200-00801,  BUSCH BEER 12PK CANS
  0-18200-15030,  BUSCH BEER 30PK CANS
  0-18200-00078,  BUSCH BEER 6P/16Z CANS
  0-18200-00964,  BUSCH LIGHT 12PK CANS
  0-18200-61218,  BUSCH LIGHT 18PK/16Z CANS
  0-18200-27030,  BUSCH LIGHT 30PK CANS
  0-18200-00243,  BUSCH LIGHT 6PK CANS
  0-18200-00614,  BUSCH NA 12PK CANS
  0-83783-22822,  BUTTERNUTS HEINNE WEISSE
  0-83783-32822,  BUTTERNUTS MOO THUNDER
  0-83783-33100,  BUTTERNUTS PORKSLAP FARMH
  0-83783-33101,  BUTTERNUTS SNAPP HEAD IPA
  0-24866-70299,  BUTTERNUTS VARIETY 12PK
  0-49483-66151,  CARLSBERG BEER 6PK
  0-50648-23383,  CARLSBERG ELEPHANT MALT
  0-00000-00000,  CAYMAN JACK
  0-30613-00038,  CBA WINTER VARIETY 12PK
  0-62067-02904,  CHIMAY 500 ANNIVERSARY
  0-62067-02958,  CHIMAY BLUE CAP BTL
  0-70897-01331,  CHIMAY GIFT PACK 3BTLS/1G
  0-70897-18331,  CHIMAY GRAND RESERVE B
  0-72890-00119,  CHIMAY RED LABEL PREMIERE
  0-72890-00419,  CHIMAY WHITE CAP BTL
  0-87692-00004,  CITY STEAM AMBER ALE
  0-87692-00053,  CITY STEAM BLONDE
  0-87692-04102,  CLIP CITY CANNON 6PK
  0-30613-01136,  CLIP CITY VARIETY PACK
  0-95301-13082,  CLOWN SHOES CLEMINTINE WI
  0-18200-00225,  COLT 45 BLST RASPB WTRMLN
  0-18200-00359,  COLT 45 BLST STRAW LMNADE
  0-60134-93012,  COLT BLAST GRAPE SNGL CAN
  1-16360-60000,  CONEY ISLAND SWORD SWALL
  0-87692-48101,  COOPERSTOWN BENCHWARMER
  0-87692-50102,  COOPERSTOWN OLD SLUGGER
  0-34100-17509,  COORS 12P/12Z CANS
  0-34100-57636,  COORS LIGHT 12/12Z NR LN
  0-34100-57707,  COORS LIGHT 12P/12Z CANS
  0-34100-17217,  COORS LIGHT 18PK BTLS
  0-34100-17256,  COORS LIGHT 18PK CANS
  0-34100-57306,  COORS LIGHT 24PK BTLS
  0-62067-04941,  COORS LIGHT 24PK CANS
  0-34100-15341,  COORS LIGHT 30PK CANS
  0-34100-00354,  COORS LIGHT 6P/12Z BTLS
  0-34100-00554,  COORS LIGHT 6P/16Z CANS
  0-62067-01155,  COORS LIGHT ALUMINUM BTLS
  0-34100-00362,  COORS LIGHT SNGL BTL
  0-62067-04962,  COORS LIGHT SNGL CAN
  0-34100-10505,  COORS NA 6PK LN BTLS
  0-62067-04942,  COORS ORIG.12/12Z BT LN
  0-18200-96234,  COORS ORIGINAL 30PK CANS
  0-80069-00128,  CORONA   -   24 OZ BOTTLE
  0-72311-33140,  CORONA EXTRA 12PK CANS
  0-72311-41213,  CORONA EXTRA 12PK NR
  0-68213-03110,  CORONA EXTRA 18PK NR
  0-68213-09115,  CORONA EXTRA 24PK NR
  0-72311-33001,  CORONA EXTRA 6PK NR
  0-80069-00221,  CORONA EXTRA SNGL CAN
  0-80069-01225,  CORONA FAMILIAR
  0-72311-93040,  CORONA LIGHT 12PK CANS
  0-72890-00016,  CORONA LIGHT 12PK LN BTLS
  0-68213-03410,  CORONA LIGHT 18PK BTLS NR
  0-72311-63009,  CORONA LIGHT 6PK BTLS NR
  0-72890-00031,  CORONITA EXTRA 24PK
  0-72311-63011,  CORONITA EXTRA 6PK BTLS
  0-18200-14999,  CORSENDONK AB TRIPEL 4PK
  0-80660-95641,  CORSENDONK CHRISTMAS TIN
  0-87692-88102,  CPTN LAWRENCE KOLSCH ALE
  0-87692-96102,  CPTN LAWRENCE LIQUID GOLD
  0-88119-18128,  CPTN LAWRENCE PALE ALE
  0-18200-18995,  CRABBIES GINGER BEER 4PK
  0-14974-60009,  CRISPIN HONEY CRISP APPLE
  0-14974-80009,  CRISPIN ORIGINAL CIDER
  0-14974-90009,  CRISPIN THE SAINT APPLE
  0-70310-00102,  DELIRIUM NOCTERNUM 4PK/12
  0-81986-00188,  DELIRIUM NOCTURNUM
  0-82153-00005,  DELIRIUM TREMENS
  0-72890-00126,  DELIRIUM TREMENS 4PK/11.2
  5-93253-21641,  DOC S FRAMBOISE CIDER
  5-93253-21665,  DOC S HARD APPLE CIDER
  5-93253-21689,  DOC S HARD PEAR CIDER
  0-22100-00004,  DOG BITE LAGER
  0-95301-13087,  DOGFISH HEAD 60 MIN IPA
  0-95301-13094,  DOGFISH HEAD 90 MIN. IPA
  6-03675-11195,  DOGFISH HEAD HELL HOUND
  0-95301-13126,  DOGFISH HEAD INDIAN BROWN
  0-95301-13131,  DOGFISH HEAD MIDAS TOUCH
  0-95374-00106,  DOGFISH HEAD PALO SANTO
  0-98304-16932,  DOGFISH HEAD RAISON D ETR
  6-05881-30321,  DOGFISH HEAD SAH TEA
  6-05881-50414,  DOGFISH HEAD SEASONAL
  1-86682-00061,  DOGFISH HEAD SEASONAL 4PK
  6-06905-03071,  DOGFISH HEAD TA HENKET
  6-06905-03072,  DOGFISH HEAD THEOBROMA
  0-72890-00020,  DOS EQUIS AMBER 12PK NR
  0-60154-91024,  DOS EQUIS LAGER SINGLE CN
  0-72890-00011,  DOS EQUIS XX AMBER 6PK NR
  0-72890-00188,  DOS EQUIS XX LAGER ESP 12
  0-72890-00042,  DOS EQUIS XX LAGER ESP 6P
  0-34100-58874,  DUNDEE CRAFT PACK ASST
  0-34100-72902,  DUNDEE ORG HONEY BRN 12PK
  6-05881-20040,  DUNDEE ORG HONEY BRN 6PK
  6-05881-30243,  DUNDEE SEASONAL 6PK NR
  0-82488-00006,  DUVEL BELGIAN BOTTLE
  0-73360-19661,  DUVEL BELGIAN GOLDEN ALE
  0-77890-11133,  DUVEL GIFT PACK W/1 GLASS
  6-05881-30422,  ELLICOTT BLBRY WHEAT 6PK
  6-05881-50261,  ELLICOTT SSNL 6PK
  0-80157-11353,  ERDINGER WEFEWEIZEN 6PK
  6-13021-22120,  FIRESTONE WALK DBL JACK
  6-13021-26120,  FIRESTONE WALK RESERVE
  6-12250-20007,  FIRESTONE WALK UNION JACK
  6-16673-03011,  FLYING DOG AMBER SCRATCH
  6-28586-52811,  FLYING DOG DOGGIE CLASSIC
  6-30279-46706,  FLYING DOG IN HEAT WHEAT
  6-30279-68806,  FLYING DOG RAGING BITCH
  0-36412-01601,  FLYING DOG VARIETY 12PK
  0-80157-03044,  FOSTERS BEER 12PK BTLS
  0-83820-23480,  FOSTERS LAGER BEER
  6-36412-01806,  FOUNDERS CENTENNIAL 6PK
  6-37704-00062,  FOUNDERS DIRTY BASTARD
  6-37704-06239,  FOUNDERS RED S RYE 6PK
  6-37704-06251,  FOUNDERS SEASONAL 4PK
  0-83820-56796,  FRANZ HEFE-WEISS
  0-80660-95685,  FRANZS HEFE-WEISSE 6PK
