Vanilla,caramel,toffee,honey,vanilla
Fruity,dark_fruit,light_fruit,citrus,sour,fruity
Earthy,coffee,chocolate,bitter_chocolate,nutty,earthy
Mineral,dry,crisp,refreshing,clean,carbonation,mineral
Toasty,roasty,rustic,smokey,toast,toasty
Spices,spices,pepper
Florals,herbal,grassy,hops,bitterness,florals
Grainy,rye,corny,wheat,grainy
Creamy,malt,creamy
